STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TMAX,TMIN
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140716,5,-9999,0,211,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140717,0,-9999,0,200,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140718,3,-9999,0,200,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140719,0,-9999,0,200,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140720,0,-9999,0,194,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140721,3,-9999,0,211,161
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140722,10,-9999,0,222,161
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140723,0,-9999,0,217,167
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140724,0,-9999,0,239,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140725,0,-9999,0,294,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140726,0,-9999,0,222,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140727,0,-9999,0,206,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140728,0,-9999,0,194,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140729,0,-9999,0,194,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140730,0,-9999,0,194,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140731,0,-9999,0,189,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140801,0,-9999,0,183,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140802,0,-9999,0,167,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140803,0,-9999,0,178,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140804,0,-9999,0,200,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140805,0,-9999,0,206,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140806,3,-9999,0,217,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140807,0,-9999,0,178,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140808,0,-9999,0,200,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140809,0,-9999,0,156,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140810,0,-9999,0,200,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140811,0,-9999,0,206,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140812,0,-9999,0,211,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140813,0,-9999,0,206,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140814,0,-9999,0,200,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140815,0,-9999,0,206,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140816,0,-9999,0,194,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140817,0,-9999,0,194,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140818,0,-9999,0,167,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140819,0,-9999,0,200,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140820,0,-9999,0,194,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140821,0,-9999,0,206,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140822,0,-9999,0,200,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140823,0,-9999,0,211,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140824,0,-9999,0,206,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140825,0,-9999,0,200,161
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140826,0,-9999,0,206,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140827,0,-9999,0,206,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140828,0,-9999,0,200,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140829,0,-9999,0,206,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140830,0,-9999,0,217,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140831,0,-9999,0,217,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140901,0,-9999,0,233,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140902,0,-9999,0,183,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140903,0,-9999,0,206,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140904,0,-9999,0,206,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140905,0,-9999,0,200,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140906,0,-9999,0,194,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140907,0,-9999,0,189,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140908,0,-9999,0,178,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140909,0,-9999,0,189,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140910,0,-9999,0,267,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140911,0,-9999,0,256,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140912,0,-9999,0,200,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140913,0,-9999,0,200,133
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140914,0,-9999,0,211,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140915,0,-9999,0,217,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140916,0,-9999,0,239,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140917,0,-9999,0,233,167
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140918,10,-9999,0,233,167
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140919,0,-9999,0,200,167
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140920,0,-9999,0,189,161
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140921,0,-9999,0,194,167
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140922,0,-9999,0,217,167
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140923,0,-9999,0,211,161
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140924,10,-9999,0,239,167
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140925,119,-9999,0,217,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140926,0,-9999,0,211,161
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140927,0,-9999,0,211,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140928,0,-9999,0,206,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140929,0,-9999,0,183,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20140930,0,-9999,0,206,144
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20141001,0,-9999,0,278,150
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20141002,0,-9999,0,311,156
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20141003,0,-9999,0,333,183
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20141004,0,-9999,0,328,172
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20141005,0,-9999,0,278,139
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20141006,0,-9999,0,228,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20141007,0,-9999,0,189,128
GHCND:USW00023272,SAN FRANCISCO DOWNTOWN CA US,20141008,0,-9999,0,189,128
